dataset_name,label
uciheart,medical
taximex,transportation
ucispambase,misc
bank,finance
acstraveltime,transportation
taxibog,transportation
ipums,medical
acsunemployment,finance
brfsshighcholesterol,medical
usaccidents,transportation
taxiuio,transportation
brfsshbp,medical
car,misc
support2,medical
rice,misc
IndianDiabetes,medical
airline,misc
acsmobility,transportation
ucidiabetes,medical
acspubcov,medical
sepsis,medical
diabetes,medical
glioma,medical
nursery,misc
mushroom,misc
telescope,misc
houses,misc
acsincome,finance
ucibreastcancer,medical
ucistatloggerman,finance
brfssdiabetes,medical
