dataset_name,xgb_auc
uciheart,0.8382352941176471
taximex,0.9047012020888755
ucispambase,0.977157512673606
bank,0.9013989776701641
acstraveltime,0.6565161491090147
taxibog,0.9199132792334405
ipums,0.7637381790879352
acsunemployment,0.8569607168856659
brfsshighcholesterol,0.6577632319819819
usaccidents,0.7577228652655091
taxiuio,0.9135174468494072
brfsshbp,0.7333397705144917
car,0.9999937648085796
support2,0.9902212749952987
rice,0.9682984499518347
IndianDiabetes,0.7988983150701072
airline,0.6243780193236714
acsmobility,0.6515493428613218
ucidiabetes,0.7222486818907243
acspubcov,0.7763898141979422
sepsis,0.6586001016260163
diabetes,0.6073200757575759
glioma,0.9025801952580196
nursery,0.9999482856699591
mushroom,0.9999999999999999
telescope,0.8959416089075313
houses,0.9251864374709494
acsincome,0.8556219780219779
ucibreastcancer,0.986279257465698
ucistatloggerman,0.7515586445913619
brfssdiabetes,0.6900893108442998
